# Coil_pos O-Beam err ps_pos
0.0000000 512.7429416 4.6861498 109.7998050
5.0000000 718.3999845 5.2801515 109.7998050
10.0000000 823.9217964 5.7549978 109.7998050
15.0000000 785.1692424 5.5713553 109.7998050
20.0000000 618.3522813 4.8456166 109.7998050
25.0000000 393.2494372 4.1231056 109.7998050
30.0000000 204.0198664 3.1559468 109.7998050
35.0000000 129.8171519 2.8142495 109.7998050
40.0000000 201.6798397 3.2062439 109.7998050
45.0000000 389.5482029 4.2047592 109.7998050
50.0000000 614.8380431 4.9799598 109.7998050
55.0000000 783.3119850 5.8583274 109.7998050
60.0000000 824.4983992 5.6284989 109.7998050
65.0000000 721.1692582 5.5353410 109.7998050
70.0000000 516.5465156 4.5563143 109.7998050
75.0000000 296.2226253 3.6276714 109.7998050
80.0000000 152.3577358 3.1304952 109.7998050
85.0000000 145.1296589 2.9664794 109.7998050
90.0000000 277.5618554 3.7416574 109.7998050
95.0000000 494.2587398 4.6647615 109.7998050
