# Coil O-Beam err ps_pos
-1.7500000 13.1140404 9.2736185 108.8999020
-1.5000000 37.6117145 11.7046999 108.8999020
-1.2500000 193.9284602 21.1187121 108.8999020
-1.0000000 467.2327518 30.4302481 108.8999020
-0.7500000 724.2230172 36.6878727 108.8999020
-0.5000000 684.9487265 36.7287353 108.8999020
-0.2500000 695.3915802 35.5105618 108.8999020
0.0000000 431.0208007 28.3548938 108.8999020
0.2500000 205.7867374 19.5703858 108.8999020
0.5000000 30.1571148 10.0498756 108.8999020
0.7500000 44.8540692 12.2065556 108.8999020
1.0000000 248.6188814 22.5831796 108.8999020
1.2500000 503.7715787 31.1769145 108.8999020
1.5000000 750.0822426 37.1079506 108.8999020
1.7500000 782.5582296 38.0131556 108.8999020
