# Coil_pos O-Beam err ps_pos
-1.750000000000000000e+00 2.993147271150653932e+00 7.549834435270749822e+00 1.092744139999999931e+02
-1.500000000000000000e+00 4.105054045328375167e+01 1.220655561573370207e+01 1.092744139999999931e+02
-1.250000000000000000e+00 1.896008746505488318e+02 2.034698994937580352e+01 1.092744139999999931e+02
-1.000000000000000000e+00 3.794059294475106867e+02 2.808914381037627805e+01 1.092744139999999931e+02
-7.500000000000000000e-01 5.221967234541948528e+02 3.226453160980335610e+01 1.092744139999999931e+02
-5.000000000000000000e-01 5.516183022920841950e+02 3.224903099319419653e+01 1.092744139999999931e+02
-2.500000000000000000e-01 4.540017366574744528e+02 2.835489375751565078e+01 1.092744139999999931e+02
0.000000000000000000e+00 2.747025527545840760e+02 2.083266665599965961e+01 1.092744139999999931e+02
2.500000000000000000e-01 9.706826205630987658e+01 1.341640786499873883e+01 1.092744139999999931e+02
5.000000000000000000e-01 3.781915469206456937e+00 7.874007874011811126e+00 1.092744139999999931e+02
7.500000000000000000e-01 3.849725727036727818e+01 1.256980508997653523e+01 1.092744139999999931e+02
1.000000000000000000e+00 1.855493559627055902e+02 2.151743479135001280e+01 1.092744139999999931e+02
1.250000000000000000e+00 3.771527073231115423e+02 2.851315485876650513e+01 1.092744139999999931e+02
1.500000000000000000e+00 5.247641750268005580e+02 3.255764119219941222e+01 1.092744139999999931e+02
1.750000000000000000e+00 5.600896979189292324e+02 3.148015247739438749e+01 1.092744139999999931e+02
