# Coil O-Beam err ps_pos
-1.7500000 -41.0793942 7.7459667 108.8251950
-1.5000000 -66.4844874 7.7459667 108.8251950
-1.2500000 -15.2993948 15.0000000 108.8251950
-1.0000000 36.1518839 20.6155281 108.8251950
-0.7500000 148.9260875 25.5147016 108.8251950
-0.5000000 193.4213871 26.8328157 108.8251950
-0.2500000 156.1943910 24.6373700 108.8251950
0.0000000 140.5099581 21.2367606 108.8251950
0.2500000 41.1941694 14.5945195 108.8251950
0.5000000 -22.1575337 8.8317609 108.8251950
0.7500000 -48.3350483 9.0000000 108.8251950
1.0000000 -17.5780304 15.0996689 108.8251950
1.2500000 88.9346195 21.9772610 108.8251950
1.5000000 84.2306970 24.2693222 108.8251950
1.7500000 196.5190377 26.8700577 108.8251950
