# Coil O-Beam err ps_pos
-0.1000000 0.0000765 0.2697736 0.0659180
-0.0929340 0.0000584 0.2576604 0.0659180
-0.0858680 -0.0000821 0.2147350 0.0659180
-0.0788020 -0.0001381 0.1907587 0.0659180
-0.0717360 -0.0002016 0.1641476 0.0659180
-0.0646700 -0.0002509 0.1433721 0.0659180
-0.0576040 -0.0002194 0.1581139 0.0659180
-0.0505380 -0.0001592 0.1848423 0.0659180
-0.0434720 0.0000040 0.2374634 0.0659180
-0.0364060 -0.0000117 0.2420973 0.0659180
-0.0293400 0.0000830 0.2718251 0.0659180
-0.0222740 0.0002280 0.3077698 0.0659180
-0.0152080 0.0002595 0.3188521 0.0659180
-0.0081420 0.0003608 0.3399346 0.0659180
-0.0010760 0.0004260 0.3519785 0.0659180
0.0059900 0.0003962 0.3460090 0.0659180
0.0130560 0.0003162 0.3291403 0.0659180
0.0201220 0.0002915 0.3197221 0.0659180
0.0271880 0.0002518 0.3059593 0.0659180
0.0342540 0.0000228 0.2505549 0.0659180
0.0413200 -0.0000476 0.2248456 0.0659180
0.0483860 -0.0001601 0.1848423 0.0659180
0.0554520 -0.0002103 0.1615893 0.0659180
0.0625180 -0.0002365 0.1490712 0.0659180
0.0695840 -0.0002155 0.1589899 0.0659180
0.0766500 -0.0001540 0.1855921 0.0659180
0.0837160 -0.0001192 0.2041241 0.0659180
0.0907820 -0.0000745 0.2254625 0.0659180
0.0978480 0.0000875 0.2718251 0.0659180
0.1049140 0.0002199 0.3055050 0.0659180
0.1119800 0.0003368 0.3320810 0.0659180
