# Coil O-Beam err ps_pos
-0.1000000 0.0006115 0.4451123 1.2414550
-0.0929340 0.0003633 0.3832427 1.2414550
-0.0858680 0.0002665 0.3508917 1.2414550
-0.0788020 0.0000641 0.2904738 1.2414550
-0.0717360 0.0000161 0.2738613 1.2414550
-0.0646700 0.0000252 0.2806243 1.2414550
-0.0576040 0.0002820 0.3570714 1.2414550
-0.0505380 0.0004270 0.4000000 1.2414550
-0.0434720 0.0006805 0.4609772 1.2414550
-0.0364060 0.0008675 0.5043560 1.2414550
-0.0293400 0.0012915 0.5793315 1.2414550
-0.0222740 0.0012659 0.5825590 1.2414550
-0.0152080 0.0015301 0.6239992 1.2414550
-0.0081420 0.0016282 0.6388466 1.2414550
-0.0010760 0.0015245 0.6239992 1.2414550
0.0059900 0.0013665 0.5984355 1.2414550
0.0130560 0.0012585 0.5766281 1.2414550
0.0201220 0.0009992 0.5285594 1.2414550
0.0271880 0.0008601 0.4956057 1.2414550
0.0342540 0.0005045 0.4190764 1.2414550
0.0413200 0.0002888 0.3614208 1.2414550
0.0483860 0.0001108 0.3072051 1.2414550
0.0554520 0.0000960 0.2979094 1.2414550
0.0625180 -0.0000059 0.2680951 1.2414550
0.0695840 0.0002166 0.3363406 1.2414550
0.0766500 0.0003435 0.3758324 1.2414550
0.0837160 0.0005276 0.4257347 1.2414550
0.0907820 0.0008009 0.4873397 1.2414550
0.0978480 0.0011406 0.5522681 1.2414550
0.1049140 0.0012200 0.5722762 1.2414550
0.1119800 0.0017049 0.6451744 1.2414550
