# Coil_pos O-Beam err ps_pos
-0.1000000 2.7848743 0.2207940 -0.5493160
-0.0858680 0.5913196 0.1187317 -0.5493160
-0.0717360 0.0941720 0.0857969 -0.5493160
-0.0646700 0.5890118 0.1233221 -0.5493160
-0.0505380 2.7805149 0.2089989 -0.5493160
-0.0364060 5.6658223 0.2932102 -0.5493160
-0.0222740 7.9235273 0.3408527 -0.5493160
-0.0081420 8.5196514 0.3563901 -0.5493160
0.0059900 7.1811829 0.3289292 -0.5493160
0.0201220 4.5211107 0.2571208 -0.5493160
0.0342540 1.7576886 0.1703754 -0.5493160
0.0483860 0.1565025 0.0881917 -0.5493160
0.0625180 0.4508601 0.1124228 -0.5493160
0.0766500 2.5059520 0.2024160 -0.5493160
0.0907820 5.3805920 0.2938017 -0.5493160
0.1049140 7.7582588 0.3357206 -0.5493160
