# Coil O-Beam err ps_pos
-0.1000000 1.3954180 0.1492781 0.1647950
-0.0858680 0.2878838 0.0862454 0.1647950
-0.0717360 0.0293919 0.0518188 0.1647950
-0.0646700 0.2736288 0.0747424 0.1647950
-0.0505380 1.3684864 0.1336801 0.1647950
-0.0364060 2.8177981 0.1915660 0.1647950
-0.0222740 3.9582187 0.2243647 0.1647950
-0.0081420 4.2677814 0.2397916 0.1647950
0.0059900 3.6048004 0.2144473 0.1647950
0.0201220 2.2727199 0.1733832 0.1647950
0.0342540 0.8812288 0.1213352 0.1647950
0.0483860 0.0672080 0.0574671 0.1647950
0.0625180 0.2032321 0.0771802 0.1647950
0.0766500 1.2270434 0.1344858 0.1647950
0.0907820 2.6700467 0.1864218 0.1647950
0.1049140 3.8717843 0.2247770 0.1647950
