# Coil O-Beam err ps_pos
-0.1000000 4.2173714 0.2228290 -0.4614260
-0.0858680 1.6159311 0.1643590 -0.4614260
-0.0717360 0.2082598 0.0939119 -0.4614260
-0.0646700 0.1854237 0.0927961 -0.4614260
-0.0505380 1.5148980 0.1483708 -0.4614260
-0.0364060 4.0843945 0.2520747 -0.4614260
-0.0222740 6.7175944 0.3092329 -0.4614260
-0.0081420 8.2090158 0.3378856 -0.4614260
0.0059900 7.8758840 0.3203730 -0.4614260
0.0201220 5.8707074 0.2709295 -0.4614260
0.0342540 3.1114580 0.1918477 -0.4614260
0.0483860 0.8613237 0.1102396 -0.4614260
0.0625180 0.1504186 0.0731247 -0.4614260
0.0766500 1.3041959 0.1516117 -0.4614260
0.0907820 3.7944551 0.2316906 -0.4614260
0.1049140 6.4811524 0.2963903 -0.4614260
