# Coil_pos O-Beam err ps_pos
-0.1000000 4.4926372 0.2390665 0.5273440
-0.0858680 1.4432475 0.1620185 0.5273440
-0.0717360 0.0372654 0.0870026 0.5273440
-0.0646700 0.1923001 0.0964653 0.5273440
-0.0505380 2.1291938 0.1589899 0.5273440
-0.0364060 5.3955755 0.2640497 0.5273440
-0.0222740 8.4966029 0.3237154 0.5273440
-0.0081420 10.0131074 0.3417683 0.5273440
0.0059900 9.2510686 0.3367533 0.5273440
0.0201220 6.5592297 0.2807480 0.5273440
0.0342540 3.1694964 0.2061553 0.5273440
0.0483860 0.6331620 0.1181454 0.5273440
0.0625180 0.1109666 0.0897527 0.5273440
0.0766500 1.8418901 0.1703754 0.5273440
0.0907820 5.0337846 0.2573908 0.5273440
0.1049140 8.2258965 0.3172144 0.5273440
