# Coil O-Beam err ps_pos
-0.1000000 0.0026181 0.3358240 0.3515620
-0.0858680 0.0014638 0.2511087 0.3515620
-0.0717360 0.0011543 0.2229848 0.3515620
-0.0646700 0.0010704 0.2147350 0.3515620
-0.0505380 0.0016508 0.2666667 0.3515620
-0.0364060 0.0027986 0.3472111 0.3515620
-0.0222740 0.0039400 0.4119736 0.3515620
-0.0081420 0.0046945 0.4496913 0.3515620
0.0059900 0.0040496 0.4176655 0.3515620
0.0201220 0.0029147 0.3543382 0.3515620
0.0342540 0.0018765 0.2843120 0.3515620
0.0483860 0.0013219 0.2386304 0.3515620
0.0625180 0.0010640 0.2140872 0.3515620
0.0766500 0.0015734 0.2603417 0.3515620
0.0907820 0.0024246 0.3231787 0.3515620
0.1049140 0.0035853 0.3929942 0.3515620
