# Coil O-Beam err ps_pos
-0.1000000 0.7558491 0.2472066 -0.2746580
-0.0858680 0.1387192 0.1878238 -0.2746580
-0.0717360 0.0284149 0.1632993 -0.2746580
-0.0646700 0.1897421 0.1632993 -0.2746580
-0.0505380 0.8521652 0.2260777 -0.2746580
-0.0364060 1.6937163 0.3013857 -0.2746580
-0.0222740 2.3278569 0.3407508 -0.2746580
-0.0081420 2.4633158 0.3601697 -0.2746580
0.0059900 2.0378745 0.3201562 -0.2746580
0.0201220 1.2469451 0.3013857 -0.2746580
0.0342540 0.4538148 0.2217356 -0.2746580
0.0483860 0.0227813 0.1666667 -0.2746580
0.0625180 0.1518256 0.1641476 -0.2746580
0.0766500 0.7816754 0.2192158 -0.2746580
0.0907820 1.6230303 0.2901149 -0.2746580
0.1049140 2.2894420 0.3333333 -0.2746580
