# Coil O-Beam err ps_pos
-1.4000000 5.0248942 0.4024232 -0.5493160
-1.2000000 3.3559989 0.3507928 -0.5493160
-1.0000000 1.6763534 0.2929733 -0.5493160
-0.8000000 0.5052379 0.2333333 -0.5493160
-0.6000000 0.2047154 0.2034426 -0.5493160
-0.4000000 0.8676954 0.2173067 -0.5493160
-0.2000000 2.2892107 0.2635231 -0.5493160
0.0000000 4.0297847 0.3411582 -0.5493160
0.2000000 5.5513006 0.3880149 -0.5493160
0.4000000 6.3833654 0.4262237 -0.5493160
0.6000000 6.2687376 0.4330127 -0.5493160
0.8000000 5.2428555 0.3833333 -0.5493160
1.0000000 3.6228815 0.3590110 -0.5493160
1.2000000 1.9096477 0.2915476 -0.5493160
1.4000000 0.6328186 0.2333333 -0.5493160
