# Coil O-Beam err ps_pos
-0.1000000 0.0013200 0.3157883 1.6040040
-0.0858680 0.0001559 0.1707825 1.6040040
-0.0717360 -0.0000320 0.1105542 1.6040040
-0.0646700 0.0000702 0.1374369 1.6040040
-0.0505380 0.0009599 0.2692582 1.6040040
-0.0364060 0.0017266 0.3620927 1.6040040
-0.0222740 0.0023268 0.4242641 1.6040040
-0.0081420 0.0033011 0.4784233 1.6040040
0.0059900 0.0024927 0.4336537 1.6040040
0.0201220 0.0017938 0.3689324 1.6040040
0.0342540 0.0008712 0.2666667 1.6040040
0.0483860 0.0000969 0.1443376 1.6040040
0.0625180 -0.0001097 0.1040833 1.6040040
0.0766500 0.0005400 0.2309401 1.6040040
0.0907820 0.0017206 0.3574602 1.6040040
0.1049140 0.0023952 0.4249183 1.6040040
