# Coil_pos O-Beam err ps_pos
-0.1000000 2.6845258 0.3045944 -0.4943850
-0.0858680 0.9484256 0.1943651 -0.4943850
-0.0717360 0.0946548 0.1130388 -0.4943850
-0.0646700 0.1431631 0.1213352 -0.4943850
-0.0505380 1.1630547 0.2273030 -0.4943850
-0.0364060 2.9670711 0.3261731 -0.4943850
-0.0222740 4.7297766 0.4129837 -0.4943850
-0.0081420 5.6446374 0.4493823 -0.4943850
0.0059900 5.2930547 0.4189935 -0.4943850
0.0201220 3.8358969 0.3620927 -0.4943850
0.0342540 1.9398930 0.2687419 -0.4943850
0.0483860 0.4725681 0.1471960 -0.4943850
0.0625180 0.1053033 0.1190238 -0.4943850
0.0766500 1.0061423 0.2185813 -0.4943850
0.0907820 2.7629021 0.3201562 -0.4943850
0.1049140 4.5717694 0.4116363 -0.4943850
