# Coil O-Beam err ps_pos
-1.4000000 0.1272016 0.0040737 0.8239750
-1.2000000 0.0876993 0.0033314 0.8239750
-1.0000000 0.0493685 0.0025095 0.8239750
-0.8000000 0.0210901 0.0016369 0.8239750
-0.6000000 0.0081385 0.0010254 0.8239750
-0.4000000 0.0157015 0.0014044 0.8239750
-0.2000000 0.0479733 0.0024806 0.8239750
0.0000000 0.0843160 0.0032696 0.8239750
0.2000000 0.1258065 0.0040290 0.8239750
0.4000000 0.1388113 0.0041987 0.8239750
0.6000000 0.1427656 0.0042774 0.8239750
0.8000000 0.1222559 0.0039274 0.8239750
1.0000000 0.0899898 0.0033940 0.8239750
1.2000000 0.0509653 0.0025611 0.8239750
1.4000000 0.0249083 0.0017746 0.8239750
