# Coil O-Beam err ps_pos
-1.4000000 0.1399920 0.0043120 0.6921390
-1.2000000 0.1028415 0.0036613 0.6921390
-1.0000000 0.0567293 0.0027200 0.6921390
-0.8000000 0.0235602 0.0017561 0.6921390
-0.6000000 0.0071895 0.0009694 0.6921390
-0.4000000 0.0135884 0.0013389 0.6921390
-0.2000000 0.0463938 0.0024870 0.6921390
0.0000000 0.0890005 0.0033857 0.6921390
0.2000000 0.1283522 0.0041382 0.6921390
0.4000000 0.1545190 0.0045251 0.6921390
0.6000000 0.1680859 0.0046926 0.6921390
0.8000000 0.1397849 0.0042814 0.6921390
1.0000000 0.1075227 0.0037344 0.6921390
1.2000000 0.0624683 0.0028134 0.6921390
1.4000000 0.0310989 0.0020158 0.6921390
